2024-09-19 07:18:52.331000 -- inserting match : EUW1_7120402676 
2024-09-19 07:18:53.675371 -- inserting match : EUW1_7120345676 
2024-09-19 07:18:54.962180 -- inserting match : EUW1_7118891177 
2024-09-19 07:18:56.343758 -- inserting match : EUW1_7118844188 
2024-09-19 07:18:57.769168 -- inserting match : EUW1_7118824913 
2024-09-19 07:19:12.874226 -- Sleeping 10 segs ... 
2024-09-19 07:19:23.034228 -- Sleeping 10 segs ... 
2024-09-19 07:19:33.190788 -- Sleeping 10 segs ... 
2024-09-19 07:19:43.349052 -- Sleeping 10 segs ... 
2024-09-19 07:19:53.549772 -- Sleeping 10 segs ... 
2024-09-19 07:20:03.727329 -- Sleeping 10 segs ... 
2024-09-19 07:20:13.884928 -- Sleeping 10 segs ... 
2024-09-19 07:20:24.027610 -- Sleeping 10 segs ... 
2024-09-19 07:20:34.169402 -- Sleeping 10 segs ... 
2024-09-19 07:21:07.616434 -- Sleeping 10 segs ... 
2024-09-19 07:21:17.764803 -- Sleeping 10 segs ... 
2024-09-19 07:21:27.923715 -- Sleeping 10 segs ... 
2024-09-19 07:21:38.082993 -- Sleeping 10 segs ... 
2024-09-19 07:21:48.224658 -- Sleeping 10 segs ... 
2024-09-19 07:21:58.393321 -- Sleeping 10 segs ... 
2024-09-19 07:22:08.555676 -- Sleeping 10 segs ... 
2024-09-19 07:22:18.700068 -- Sleeping 10 segs ... 
2024-09-19 07:22:28.855957 -- Sleeping 10 segs ... 
2024-09-19 07:22:39.005742 -- Sleeping 10 segs ... 
2024-09-19 07:23:13.434422 -- Sleeping 10 segs ... 
2024-09-19 07:23:23.583964 -- Sleeping 10 segs ... 
2024-09-19 07:23:33.743787 -- Sleeping 10 segs ... 
2024-09-19 07:23:43.898727 -- Sleeping 10 segs ... 
2024-09-19 07:23:54.056303 -- Sleeping 10 segs ... 
2024-09-19 07:24:04.237192 -- Sleeping 10 segs ... 
2024-09-19 07:24:14.414928 -- Sleeping 10 segs ... 
2024-09-19 07:24:24.563440 -- Sleeping 10 segs ... 
2024-09-19 07:24:34.715458 -- Sleeping 10 segs ... 
2024-09-19 07:24:44.873743 -- Sleeping 10 segs ... 
2024-09-19 07:25:18.172691 -- Sleeping 10 segs ... 
2024-09-19 07:25:28.323699 -- Sleeping 10 segs ... 
2024-09-19 07:25:38.477657 -- Sleeping 10 segs ... 
2024-09-19 07:25:48.629069 -- Sleeping 10 segs ... 
2024-09-19 07:25:58.784687 -- Sleeping 10 segs ... 
2024-09-19 07:26:08.981009 -- Sleeping 10 segs ... 
2024-09-19 07:26:19.150284 -- Sleeping 10 segs ... 
2024-09-19 07:26:29.310909 -- Sleeping 10 segs ... 
2024-09-19 07:26:39.466384 -- Sleeping 10 segs ... 
2024-09-19 07:26:49.619746 -- Sleeping 10 segs ... 
2024-09-19 07:27:02.482450 -- inserting match : EUW1_7116523602 
2024-09-19 07:27:23.620427 -- inserting match : EUW1_7116162719 
2024-09-19 07:27:25.606412 -- Sleeping 10 segs ... 
2024-09-19 07:27:35.760112 -- Sleeping 10 segs ... 
2024-09-19 07:27:45.911129 -- Sleeping 10 segs ... 
2024-09-19 07:27:56.065132 -- Sleeping 10 segs ... 
2024-09-19 07:28:06.212352 -- Sleeping 10 segs ... 
2024-09-19 07:28:16.381322 -- Sleeping 10 segs ... 
2024-09-19 07:28:26.557654 -- Sleeping 10 segs ... 
2024-09-19 07:28:36.717038 -- Sleeping 10 segs ... 
2024-09-19 07:28:46.872970 -- Sleeping 10 segs ... 
2024-09-19 07:28:57.019033 -- Sleeping 10 segs ... 
2024-09-19 07:29:26.234372 -- inserting match : EUW1_7121843389 
2024-09-19 07:29:27.686388 -- inserting match : EUW1_7116767345 
2024-09-19 07:29:33.366462 -- Sleeping 10 segs ... 
2024-09-19 07:29:43.519630 -- Sleeping 10 segs ... 
2024-09-19 07:29:53.675456 -- Sleeping 10 segs ... 
